dg1 [um],dg_feed [um],L1 [um],L2 [um],Freq [GHz],S11_dB,S21_dB
-6,-66,50,-92,1.215,-21.8673165199079,-0.0804587961579424
-6,-66,50,-92,1.22,-21.8861228077844,-0.0803722907659744
-6,-66,50,-92,1.225,-22.0438224368767,-0.0794069046785992
-6,-66,50,-92,1.23,-22.3396298257638,-0.0776591174612002
-6,-66,50,-92,1.235,-22.7779406215703,-0.0752648091511739
-6,-66,50,-92,1.24,-23.3690181288731,-0.0723882752441991
-6,-66,50,-92,1.245,-24.1306432199249,-0.0692110725841085
-6,-66,50,-92,1.25,-25.0913302422264,-0.0659212083390532
-6,-66,50,-92,1.255,-26.296499276342,-0.0627031006215443
-6,-66,50,-92,1.26,-27.8209770476323,-0.0597286583662689
-6,-66,50,-92,1.265,-29.7970487826622,-0.0571497482863382
-6,-66,50,-92,1.27,-32.4884488498593,-0.055092237133224
-6,-66,50,-92,1.275,-36.5452298993243,-0.0536517181953268
-6,-66,50,-92,1.28,-44.518874366775,-0.0528909532618362
-6,-66,50,-92,1.285,-49.33053438273,-0.0528389874192753
-6,-66,50,-92,1.29,-38.2569820817588,-0.0534918268966557
-6,-66,50,-92,1.295,-33.5645862533372,-0.05481451268822
-6,-66,50,-92,1.3,-30.6099219296157,-0.0567443774139927
-6,-66,50,-92,1.305,-28.4899476328008,-0.0591952415741875
-6,-66,50,-92,1.31,-26.869544278955,-0.0620622887041447
-6,-66,50,-92,1.315,-25.5871750015962,-0.0652273565050489
-6,-66,50,-92,1.32,-24.5526096973312,-0.0685643913567374
-6,-66,50,-92,1.325,-23.7104320814943,-0.0719448344719549
-6,-66,50,-92,1.33,-23.0243160588848,-0.0752427366191071
-6,-66,50,-92,1.335,-22.4693357853016,-0.0783394319747924
-6,-66,50,-92,1.34,-22.0278462707111,-0.0811276375799123
-6,-66,50,-92,1.345,-21.68712240701,-0.0835148807544552
-6,-66,50,-92,1.35,-21.437936580626,-0.0854261908885666
-6,-66,50,-92,1.355,-21.2736721351396,-0.0868060230481871
-6,-66,50,-92,1.36,-21.1897621224125,-0.0876194081370024
-6,-66,50,-92,1.365,-21.1833384521916,-0.0878523477244714
-6,-66,50,-92,1.37,-21.2530278059102,-0.0875114912205283
-6,-66,50,-92,1.375,-21.3988605738325,-0.0866231492098562
-6,-66,50,-92,1.38,-21.6222787880793,-0.0852317099212629
-6,-66,50,-92,1.385,-21.926244763637,-0.0833975364687396
-6,-66,50,-92,1.39,-22.3154683419997,-0.0811944310545665
-6,-66,50,-92,1.395,-22.7967918638915,-0.0787067590350575
-6,-66,50,-92,1.4,-23.3798051729634,-0.0760263307302947
-6,-66,50,-92,1.405,-24.0778209069339,-0.0732491420742243
-6,-66,50,-92,1.41,-24.9094500065314,-0.0704720764941144
-6,-66,50,-92,1.415,-25.9012404721787,-0.067789669541595
-6,-66,50,-92,1.42,-27.092333153852,-0.0652910345152044
-6,-66,50,-92,1.425,-28.5432736929216,-0.0630570413975166
-6,-66,50,-92,1.43,-30.3543426646063,-0.0611578327605973
-6,-66,50,-92,1.435,-32.7090253525488,-0.059650748898994
-6,-66,50,-92,1.44,-35.9990341952675,-0.0585787205381853
-6,-66,50,-92,1.445,-41.3130531077223,-0.057969171435334
-6,-66,50,-92,1.45,-51.9269703796147,-0.057833455615639
-6,-66,50,-92,1.455,-43.2328428004072,-0.058166835587229
-6,-66,50,-92,1.46,-37.1613348994893,-0.0589489894592997
-6,-66,50,-92,1.465,-33.6417606674082,-0.0601450172793468
-6,-66,50,-92,1.47,-31.2125090918253,-0.0617069008897205
-6,-66,50,-92,1.475,-29.3913367458495,-0.0635753578538785
-6,-66,50,-92,1.48,-27.9630553931853,-0.0656820190283086
-6,-66,50,-92,1.485,-26.813534118411,-0.0679518514753379
-6,-66,50,-92,1.49,-25.8752630827863,-0.0703057437357195
-6,-66,50,-92,1.495,-25.1052568030743,-0.0726631689252859
-6,-66,50,-92,1.5,-24.4747130193611,-0.0749448424396371
-6,-66,50,-92,1.505,-23.9636581265586,-0.0770752948695425
-6,-66,50,-92,1.51,-23.557960986522,-0.0789852866014027
-6,-66,50,-92,1.515,-23.2475750178881,-0.0806139980260884
-6,-66,50,-92,1.52,-23.025465640693,-0.0819109378508563
-6,-66,50,-92,1.525,-22.88694660957,-0.0828375213026929
-6,-66,50,-92,1.53,-22.8292780510179,-0.0833682797046427
-6,-66,50,-92,1.535,-22.8514470122332,-0.0834916727677843
-6,-66,50,-92,1.54,-22.9540907454909,-0.0832104848266855
-6,-66,50,-92,1.545,-23.1395494462855,-0.0825417960883247
-6,-66,50,-92,1.55,-23.4120575872317,-0.0815165297519232
-6,-66,50,-92,1.555,-23.7781082025499,-0.08017858560757
-6,-66,50,-92,1.56,-24.2470606949656,-0.0785835804509004
-6,-66,50,-92,1.565,-24.8321238624076,-0.0767972253474728
-6,-66,50,-92,1.57,-25.551960264661,-0.0748933793733769
-6,-66,50,-92,1.575,-26.4333904894765,-0.0729518288053635
-6,-66,50,-92,1.58,-27.516188461611,-0.0710558496033567
-6,-66,50,-92,1.585,-28.8622026423586,-0.0692896191063818
-6,-66,50,-92,1.59,-30.574440958808,-0.0677355497620142
-6,-66,50,-92,1.595,-32.8426821507163,-0.0664716229946261
-6,-66,50,-92,1.6,-36.0761198408812,-0.0655688045446753
-6,-66,50,-92,1.605,-41.4297421287015,-0.0650886233663922
-6,-66,50,-92,1.61,-51.7285085670974,-0.0650809941251566
-6,-66,50,-92,1.615,-42.2462498756491,-0.0655823582847004
-6,-66,50,-92,1.62,-36.2779822845666,-0.0666142106804484
-6,-66,50,-92,1.625,-32.7091989060903,-0.0681820674917837
-6,-66,50,-92,1.63,-30.187467333168,-0.0702749180015521
-6,-66,50,-92,1.635,-28.2548051484141,-0.0728651869965868
-6,-66,50,-92,1.64,-26.7039637249029,-0.0759092177963543
-6,-66,50,-92,1.645,-25.4239617438665,-0.079348268471726
-6,-66,50,-92,1.65,-24.3485936832142,-0.0831099966367552
-6,-66,50,-92,1.655,-23.4353085071641,-0.0871103920352482
-6,-66,50,-92,1.66,-22.6552472756715,-0.0912561016729216
-6,-66,50,-92,1.665,-21.9880477712611,-0.095447079993724
-6,-66,50,-92,1.67,-21.4189228523726,-0.0995794869114564
-6,-66,50,-92,1.675,-20.9369190931186,-0.103548749543989
-6,-66,50,-92,1.68,-20.5338309863374,-0.107252699234753
-6,-66,50,-92,1.685,-20.2035003172363,-0.110594693712666
-6,-66,50,-92,1.69,-19.9413531937546,-0.113486634760689
-6,-66,50,-92,1.695,-19.74409054522,-0.115851794202244
-6,-66,50,-92,1.7,-19.6094824330769,-0.117627365046414
-6,-66,50,-92,1.705,-19.5362363891282,-0.118766659978073
-6,-66,50,-92,1.71,-19.5239221261718,-0.119240885855742
-6,-66,50,-92,1.715,-19.5729429629053,-0.119040430423693
-6,-66,50,-92,1.72,-19.6845502117207,-0.118175606125895
-6,-66,50,-92,1.725,-19.8609019129364,-0.116676805919078
-6,-66,50,-92,1.73,-20.1051727273418,-0.11459403760988
-6,-66,50,-92,1.735,-20.4217286814564,-0.111995816827071
-6,-66,50,-92,1.74,-20.8163904476963,-0.108967414608019
-6,-66,50,-92,1.745,-21.2968247163021,-0.105608473966946
-6,-66,50,-92,1.75,-21.8731301490704,-0.102030030781358
-6,-66,50,-92,1.755,-22.5587326997114,-0.0983509976854666
-6,-66,50,-92,1.76,-23.371796604115,-0.0946941948701087
-6,-66,50,-92,1.765,-24.3375417530239,-0.0911820378527581
-6,-66,50,-92,1.77,-25.4922576942455,-0.0879320181105742
